oid,rpm,capacity,noise_level,overall_dimensions,voltage,channel,volume,inaccuracy,imprecision,color,cord_length,category,sub_category,weight,rpm,product_relations,name,original_link
CR-1512 ,500-15000rpm,12x 1.5-2.0ml tubes,62db,230x262x131mm,,,,,,,,mini_centrifuge,,,,CR-15-PCR,,
CRC-658,6500rpm,8x 15mL tubes,,,,,,,,,,clinical_centrifuge,,,,CRC-4-8;CRC-4-16;CRC-4-6S,,https://www.capp.dk/product/capprondo-clinical-centrifuge
CR-15-PCR,,,,,,,,,,,,accessories,mini_centrifuge,,,CR-1512 ,,
CRV-45X,,,,,,,,,,,,vortexer,,,4500rpm,,,
CRV-30XC,,,,,,,,,,,,vortexer,,,3000rpm,,,
CRV-30XC-RA,,,,,,,,,,,,accessories,vortexer,,,CRV-30XC,,
CR3-08X,,5kg,,,,,,,,,,shaker,,,,,,
CRS-15X,1500rpm,,,,,,,,,,,stirrer,magnetic_stirrer,,,,,
CRC-432X,,,,,,,,,,,,universal_centrifuge,,,,CR-43-100;CR-43-50;CR-43-15;CR-43-PL;CR-43-100F;CR-43-50F;CR-43-15F-24;CR-43-15F-16;CR-43-15F-30;CR-43-10,,
CRC-416X,4000rpm,,,,,,,,,,,oil_testing_centrifuge,,,,CRC-4-8;CRC-4-16;CRC-4-6S,,
CR-1730R,17000rpm,,,,220V,,,,,,,mini_centrifuge,,,,CR-17-24;CR-17-30;CR-17-18;CR-17-5;CR-17-PCR;CR-17-D8;CR-17-D16;CR-17-B8;CR-17-B16;CR-17-02;CR-17-05,,
CR-1730R-110,17000rpm,,,,110V,,,,,,,mini_centrifuge,,,,CR-17-24;CR-17-30;CR-17-18;CR-17-5;CR-17-PCR;CR-17-D8;CR-17-D16;CR-17-B8;CR-17-B16;CR-17-02;CR-17-05,,
CRP-18X,1800rpm,,,,,,,,,,,shaker,,,,,,
CRR-08X,80rpm,,,,,,,,,,,roller,tube_roller,,,,,
W-8,,,,,,8,,,,,,plate_washer,,,,WP-115V;WP-230V;WB-1;WB-3;WB-4;W-1000,,
W-12,,,,,,12,,,,,,plate_washer,,,,WP-115V;WP-230V;WB-1;WB-3;WB-4;W-1000,,
W-16,,,,,,16,,,,,,plate_washer,,,,WP-115V;WP-230V;WB-1;WB-3;WB-4;W-1000,,
W-8KIT-115V ,,,,,115V,8,,,,,3m,plate_washer,,,,WP-115V;WP-230V;WB-1;WB-3;WB-4;W-1000,,
W-8KIT-230V ,,,,,230V,8,,,,,3m,plate_washer,,,,WP-115V;WP-230V;WB-1;WB-3;WB-4;W-1000,,
W-12KIT-115V ,,,,,115V,12,,,,,3m,plate_washer,,,,WP-115V;WP-230V;WB-1;WB-3;WB-4;W-1000,,
W-12KIT-230V ,,,,,230V,12,,,,,3m,plate_washer,,,,WP-115V;WP-230V;WB-1;WB-3;WB-4;W-1000,,
W-16KIT-115V ,,,,,115V,16,,,,,3m,plate_washer,,,,WP-115V;WP-230V;WB-1;WB-3;WB-4;W-1000,,
W-16KIT-230V ,,,,,230V,16,,,,,3m,plate_washer,,,,WP-115V;WP-230V;WB-1;WB-3;WB-4;W-1000,,
WP-115V,,,,,115V,,,,,,,accessories,vacuum_pump,,,,,
WP-230V,,,,,230V,,,,,,,accessories,vacuum_pump,,,,,
W-1000,,,,,,,,,,,,accessories,plate_washer,,,,,
B02-1 ,,,,,,1,0.1-3μl,12.00-2.00% ,6.00-1.00%,Violet,,pipette,mechanical_pipette,,,B510ML-1-FT,,
B10-1 ,,,,,,1,1.1-3μl,2.50-1.00% ,1.80-0.50%,Grey,,pipette,mechanical_pipette,,,B510ML-1-FT,,
B20-1 ,,,,,,1,2-20μl,5.00-1.00%,1.50-0.30%,Grey,,pipette,mechanical_pipette,,,B510ML-1-FT,,
B50-1 ,,,,,,1,5-50μl,2.00-1.00%,1.20-0.30%,Red,,pipette,mechanical_pipette,,,B510ML-1-FT,,
B100-1 ,,,,,,1,10-100μl,2.50-0.70%,1.00-0.20%,Orange,,pipette,mechanical_pipette,,,B510ML-1-FT,,
B200-1 ,,,,,,1,20-200μl,2.50-0.60%,0.70-0.20%,Yellow,,pipette,mechanical_pipette,,,B510ML-1-FT,,
B1000-1 ,,,,,,1,100-1000μl,2.00-0.80%,0.60-0.20%,Blue,,pipette,mechanical_pipette,,,B510ML-1-FT,,
B5000-1 ,,,,,,1,1-5ml,1.20-0.60%,0.30-0.15%,Green,,pipette,mechanical_pipette,,,B510ML-1-FT,,
B10000 ,,,,,,1,1-10ml,3.00-0.60%,0.60-0.15%,Green,,pipette,mechanical_pipette,,,B510ML-1-FT,,
