L_0,L_1,L_2,L_3,M_0,,
Antibodies,,,,,,
,Antibody Production,,,,,
,Antibody Kits,,,,,
ELISA Kits,,,,"""EZAssayв„ў Enzyme Assay Kits"";""Mycoplasma Detection and Elimination ..."";""Cell Cycle Analysis Kits"";""Cell Cycle Analysis Kits"";""Cell Signalling Kits""",,
,Immunoassays,,,,,
,Assay Buffers (Kit Component/ Assay Specific),,,,,
,Protein Assay and Quantification Kits,,,,,
,Microspheres And Assay Kits,,,,,
,Assay Kit DIY materials/KS,,,,,
Blood and Tissue Products,,,,"""Primary Cell Platform"",",,
,Blood Samples,,,,,
,Tissue Products,,,,,
,Plasma,,,,,
,Serum (44),,,,,
,Tissue Slides,,,,,
,Buffy Coat Concentrate (1,,,,,
Cell biology,,,,,,
,Apoptosis Detection (21),,,,,
,Apoptosis Related Biomolecules (188),,,,,
,Apoptosis Research Products (209),,,,,
,Assay Kits (111),,,,,
,Biomolecules (806),,,,,
,,Proteins & Peptides,,,,
,Cell Analysis (875),,,,,
,Cell Biology Services (302),,,,,
,Cell Fusion (33),,,,,
,Cell Isolation,,,,,
,,Lymphocyte Isolation,,"""Lymphocyte Separation Media"",",,
,,Cell Isolation by Cell Type,,"""Granulocyte Sepration Media"";""Sickle Cell Detection Kits"";""Thalassemia Detection Kit"",",,
,Cell Signal Transduction (134),,,,,
,Drug Screening (16),,,,,
,Fluorescence Polarization (6),,,,,
,Histochemistry / Immunohistochemistry (598),,,,,
,In Situ Hybridization (278),,,,,
,Infectious Agents (46),,,,,
,Inhibitors,,,,,
,Microscopes and Cell Imaging Systems,,,,,
,Molecular Imaging / In Vivo Imaging (9),,,,,
,Neuroscience Equipment (260),,,,,
,Plant Biology (45),,,,,
,"Primary Cells, Cell Lines and Microorganisms",,,,,
,Stem Cell Culture (122),,,,,
,Lysates And Extracts,,,,,
Cloning and Expression (3593),,,,,,
,Baculovirus Systems (5),,,,,
,Cell Culture (2220),,,,,
,Cell Culture / Tissue Culture (2220),,,,,
,,Cell culture reagents,,"""Cell Lysis Solutions"";""Miscellaneous Reagents"";""Cell Culture Tested Chemicals"";""Related Reagents"",",,
,,Stem Cell Culture Media,,"""Stem Cell Platform"",",,
,,,Agar,"""Agar and Derivatives"",",,
,,,Amino Acid,"""Amino Acids"",",,
,,,Antibiotics / Antimycotics,"""Antibiotics"";""Antibiotics, Antifungal"";""Antibiotic Solutions""",,
,,,Cell Culture Supplements,"""Media Supplements"";""Selection Supplements""",,
,,,"""Organic Supplements"",","""Organic Supplements"",",,
,,,Salt Solutions,"""Balanced Salts"",",,
,,,Serum,"""Sera "";""Cell Dissociation Reagents "";""Serum Free Platform """,,
,,,Vitamin Solutions,"""Vitamins"";""Vitamin  Salts and Solutions"",",,
,,Cell culture media,,"""Molecular Biology Growth Media "";""Orchid Media and Salts"";""Banana Medium"";""Other Plant TC Medium, Salts"";""Phycology Media (Liquid )"";""Dehydrated Culture media "";""Culture Media Bases "";""Differentiation Aids"";""Antimicrobial Susceptibility "";""Ready prepared Media "";""Classical Media "";""Speciality Media "";""Cell Freezing Media "";""Chick Embryo Fibroblast Platform "";""Mouse IVF Platform "";""Cell Culture Grade Hydrolysates"";""Insect Diet"";""Media"";""HiKaryoXLв„ў Media "";""HybridoXLв„ў Culture Media"";""Freezing Medium"",",,
,,"Cell Viability, Proliferation and Cytotoxicity",,"""Cell Proliferation and Cytotoxicity ..."",",,
,Cloning and Expression Vectors,,,,,
,Cloning Kits (227),,,,,
,DNA Purification (554),,,,,
,Enzymes,,,"""Enzymes"";""Restriction Enzymes"";""Modifying Enzymes""",,
,Libraries (3),,,,,
,Library Construction (322),,,,,
,Mutagenesis (47),,,,,
,Transformation (136),,,,,
,Two-Hybrid Systems (2),,,,,
,Vector Construction,,,,,
CRISPR Products (46),,,,,,
,Gene Editing Services (32),,,,,
,Transfection Kits and Reagents (14),,,,,
Immunochemicals,,,,,,
,Antibody Production (183),,,,,
,Biomolecules (806),,,,,
,Cytokine Detection Assays (36),,,,,
,Histochemistry / Immunohistochemistry (598),,,,,
,Immunoassay Stabilizers (38),,,,,
,Immunoassays (100),,,"""Latex Agglutination Kits"",",,
,Immunology Services (205),,,,,
,Peptide Display Systems,,,,,
Lab Automation / High-Throughput (795),,,,,,
,Automated Liquid Handling Systems (291),,,,,
,Automated Microplate Handling Systems (55),,,,,
,Automated Nucleic Acid Purification (194),,,,,
,Automated Workstations (68),,,,,
,Dispensing Systems (107),,,,,
,High Throughput Screening (127),,,,,
,Laboratory Automation Software (21),,,,,
,Other Automated Systems (241,,,,,
Lab Equipment (11254),,,,Lab Equipments,,
,BioImaging / Microscopy,,,,,
,,Microscopes and Cell Imaging Systems,,,,
,,Microscope Cameras,,,,
,,CMOS Microscope Cameras,,,,
,,Gel Documentation (58),,,,
,,Molecular Imaging / In Vivo Imaging (9),,,,
,,Specialized Imaging Systems (93),,,,
,,Software for Bioimaging (Bio-Imaging Software) (44),,,,
,Analytical Instrumentation / Analytical Equipment (1183),,,,,
,Blotting Equipment (141),,,,,
,Cell Analysis (875),,,,,
,Cell Culture Equipment (993),,,,,
,Histology Equipment (77),,,,,
,Chromatography Equipment (777),,,,,
,Cleanrooms (29),,,,,
,Electrophoresis Equipment (627),Nucleic Acid Electrophoresis Equipment (452),,,,
,General Laboratory Equipment (3115),,,,,
,,Laboratory Scales / Scientific Balances,,,,
,,Consumables,,,,
,,,Bottle,,,
,,,Centrifuge tubes,,,
,,,Cryovials,,,
,,,Filter,,,
,,,PCR consumables,,,
,,,Pipette tips,,,
,,,Retips,,,
,,Hotplate,,,,
,,Incubators,,,,
,,Mixer,,,,
,,,Homogenizer,,,
,,,Rocker,,,
,,,Roller,,,
,,,Rotator,,,
,,,Shaker,,,
,,,Vortexer,,,
,,Pipette,,,,
,,Plate washer,,,,
,,Sterilizer,,,,
,,,Autoclave,,,
,,,Classic sterilizer,,,
,,,Micro bead sterilizer,,,
,,,Tilt micro sterilizer,,,
,,Stirrer,,,,
,,Temperature control bath,,,,
,,Thermal cycle,,,,
,,Laboratory Refrigeration,,,,
,,,Cooler,,,
,Genomics Tools (1351),,,,,
,Laboratory Centrifuges (827),,,,,
,,Clinical centrifuge,,,,
,,Filtration centrifuge,,,,
,,High speed centrifuge,,,,
,,Micro centrifuge,,,,
,,Mini centrifuge,,,,
,,Oil testing centrifuge,,,,
,,Universal centrifuge,,,,
,Liquid Handling (348),,,,,
,Mass Spectrometry (168),,,,,
,Microarray Equipment (42),,,,,
,Neuroscience Equipment (260),,,,,
,PCR Equipment (1074),,,,,
,Spectrophotometry (309),,,,,
,Spectroscopy (522),,,,,
,Stages,,,,,
,Accessories,,,,,
,,"""MB Instruments"",",,"""MB Instruments"",",,
,,"""MB Sealing Consumables"",",,"""MB Sealing Consumables"",",,
,,"""Deep Well & Elisa Plates"",",,"""Deep Well & Elisa Plates"",",,
,,"""Petri-Plates"",",,"""Petri-Plates"",",,
,,"""Tubes /Tube Stoppers /Capillary"",",,"""Tubes /Tube Stoppers /Capillary""""Molecular Biology/Molecular Biology(MB) Lab Supplies/MB Lab Consumables/MB Tubes/PCR",,"""Molecular Biology "",/""Molecular Biology(MB) Lab Supplies "",/""MB Lab Consumables "",/""MB Tubes "",/""PCR"","
,,"""Centrifuge Tubes"",",,"""Centrifuge Tubes"",",,
,,"""Bottles /Caps /Jars /Gloves /Freeze Tags"",",,"""Bottles /Caps /Jars /Gloves /Freeze Tags"",",,
,,"""Loops /Swabs"",",,"""Loops /Swabs"",",,
,,"""Sealing Tapes /Label"",",,"""Sealing Tapes /Label"",",,
,,"""Bags /Boxes /Racks/Stand"",",,"""Bags /Boxes /Racks/Stand"",",,
,,"""Clinical Sample Collection"",",,"""Clinical Sample Collection"",",,
,,"""Glass Slide /Cover Glass & Slip"",",,"""Glass Slide /Cover Glass & Slip"",",,
,,"""Embedding Cassettes & Spare"",",,"""Embedding Cassettes & Spare"",",,
,,"""Blood Collection Vial"",",,"""Blood Collection Vial"",",,
,,"""Wipes /Spatula /Needles /Markers"",",,"""Wipes /Spatula /Needles /Markers"",",,
,,"""Magnetic Rotors & Bars"",",,"""Magnetic Rotors & Bars"",",,
,,"""Sterilization Indicators"",",,"""Sterilization Indicators"",",,
,,"""Stainless Steel Labware"",",,"""Stainless Steel Labware"";""Surgical Products""",,
,,"""Other Lab Accessories"",",,"""Other Lab Accessories"",",,
,,"""Vial /Droppers /Acrylic Comb"",",,"""Vial /Droppers /Acrylic Comb"",",,
,,"""Sterility Testing"",",,"""Sterility Testing"",",,
,,"""Pipettes/Tips"",",,"""Pipettes/Tips"";""Microlitre Pipettes "";""ВµPetв„ў Autoclavable Micropipette "";""Universal Tips "";""Micro Tips for Micropipettes"",",,
,,"""PH Paper & Refills"",",,"""PH Paper & Refills"",",,
,,"""Laboratory Kits/Pack"",",,"""Laboratory Kits/Pack"",",,
,,"""Anaerobic System & Accessories""",,"""Anaerobic System & Accessories""",,
,,"""Cell Culture Consumables"",",,"""Cell Culture Consumables"",",,
,,Scale and Balance Accessories,,Scale and Balance Accessories,,
,,Calibration Weights,,Calibration Weights,,
,,Weighing Table,,Weighing Table,,
,,Weight Indicators,,Weight Indicators,,
Molecular Biology,,,,,,
,Expression Analysis (2168),,,,,
,CRISPR Products (46),,,,,
,Nucleic Acid Detection (2500),,,,,
,Nucleic Acid Analysis (552),,,,,
,Genotyping Technology (178),,,,,
,DNA Sequencing (333),,,,,
,Next Generation Sequencing / Whole Genome Sequencing (168),,,,,
,Nucleic Acid Kits (2330),,,,,
,,"""DNA Isolation Kits"",",,"""DNA Isolation Kits"",",,
,,"""RNA Isolation Kits"",",,"""RNA Isolation Kits"",",,
,,"""Reagents for DNA/RNA Isolation"",",,"""Reagents for DNA/RNA Isolation"",",,
,Nucleic Acid Modification (302),,,,,
,Quantitative PCR (qPCR) (1721),,,,,
,RT-PCR (Reverse Transcriptase PCR) (204),,,,,
,Molecular Biology Applications (2172),,,,,
,Molecular Biology Reagents (295),,,,,
,Molecular Biology Services (294),,,,,
,Molecular Biology Software (16),,,,,
,Research Animals & Accessories (217),,,,,
,In Vitro Transcription / Translation (176),,,,,
,Transfection (58),,,"""Transfection Platform "",",,
,Arrays (131),,,,,
,DNA,,,,,
,Chemicals,,,"""Molecular Biology Chemicals"",",,
